Instrument,Date,Price_Close,Volume,HistVol_30D
AAPL.O,2023-01-03,125.07,112117471,14.6245568753798
AAPL.O,2023-01-04,126.36,89113633,
AAPL.O,2023-01-05,125.02,80962708,
AAPL.O,2023-01-06,129.62,87754715,
AAPL.O,2023-01-09,130.15,70790813,
AAPL.O,2023-01-10,130.73,63896155,
AAPL.O,2023-01-11,133.49,69458949,
AAPL.O,2023-01-12,133.41,71379648,
AAPL.O,2023-01-13,134.76,57809719,
AAPL.O,2023-01-17,135.94,63646627,
AAPL.O,2023-01-18,135.21,69672800,
AAPL.O,2023-01-19,135.27,58280413,
AAPL.O,2023-01-20,137.87,80223626,
AAPL.O,2023-01-23,141.11,81760313,
AAPL.O,2023-01-24,142.53,66435142,
AAPL.O,2023-01-25,141.86,65799349,
AAPL.O,2023-01-26,143.96,54105068,
AAPL.O,2023-01-27,145.93,70555843,
AAPL.O,2023-01-30,143.0,64015274,
AAPL.O,2023-01-31,144.29,65874459,
AAPL.O,2023-02-01,145.43,77663633,
AAPL.O,2023-02-02,150.82,118338980,
AAPL.O,2023-02-03,154.5,154357337,
AAPL.O,2023-02-06,151.73,69858306,
AAPL.O,2023-02-07,154.65,83322551,
AAPL.O,2023-02-08,151.92,64120079,
AAPL.O,2023-02-09,150.87,56007143,
AAPL.O,2023-02-10,151.01,57450708,
AAPL.O,2023-02-13,153.85,62199013,
AAPL.O,2023-02-14,153.2,61707573,
AAPL.O,2023-02-15,155.33,65669252,
AAPL.O,2023-02-16,153.71,68167942,
AAPL.O,2023-02-17,152.55,59144118,
AAPL.O,2023-02-21,148.48,58867230,
AAPL.O,2023-02-22,148.91,51011305,
AAPL.O,2023-02-23,149.4,48394249,
AAPL.O,2023-02-24,146.71,55469606,
AAPL.O,2023-02-27,147.92,44998470,
AAPL.O,2023-02-28,147.41,50546998,
AAPL.O,2023-03-01,145.31,55478991,
AAPL.O,2023-03-02,145.91,52279761,
AAPL.O,2023-03-03,151.03,70732297,
AAPL.O,2023-03-06,153.83,87558028,
AAPL.O,2023-03-07,151.6,56182028,
AAPL.O,2023-03-08,152.87,47204791,
AAPL.O,2023-03-09,150.59,53833582,
AAPL.O,2023-03-10,148.5,68572400,
AAPL.O,2023-03-13,150.47,84457122,
AAPL.O,2023-03-14,152.59,73695893,
AAPL.O,2023-03-15,152.99,77167866,
AAPL.O,2023-03-16,155.85,76254419,
AAPL.O,2023-03-17,155.0,98944633,
AAPL.O,2023-03-20,157.4,73641415,
AAPL.O,2023-03-21,159.28,73938285,
AAPL.O,2023-03-22,157.83,75701811,
AAPL.O,2023-03-23,158.93,67622060,
AAPL.O,2023-03-24,160.25,59256343,
AAPL.O,2023-03-27,158.28,52390266,
AAPL.O,2023-03-28,157.65,45992152,
AAPL.O,2023-03-29,160.77,51305691,
AAPL.O,2023-03-30,162.36,49501689,
AAPL.O,2023-03-31,164.9,68749792,
AAPL.O,2023-04-03,166.17,56976187,
AAPL.O,2023-04-04,165.63,46278295,
AAPL.O,2023-04-05,163.76,51511744,
AAPL.O,2023-04-06,164.66,45390123,
AAPL.O,2023-04-10,162.03,47716882,
AAPL.O,2023-04-11,160.8,47644217,
AAPL.O,2023-04-12,160.1,50133062,
AAPL.O,2023-04-13,165.56,68445649,
AAPL.O,2023-04-14,165.21,49386480,
AAPL.O,2023-04-17,165.23,41516217,
AAPL.O,2023-04-18,166.47,49923008,
AAPL.O,2023-04-19,167.63,47720166,
AAPL.O,2023-04-20,166.65,52456377,
AAPL.O,2023-04-21,165.02,58337341,
AAPL.O,2023-04-24,165.33,41949581,
AAPL.O,2023-04-25,163.77,48714063,
AAPL.O,2023-04-26,163.76,45498796,
AAPL.O,2023-04-27,168.41,64902329,
AAPL.O,2023-04-28,169.68,55275851,
AAPL.O,2023-05-01,169.59,52472936,
AAPL.O,2023-05-02,168.54,48425696,
AAPL.O,2023-05-03,167.45,65136018,
AAPL.O,2023-05-04,165.79,81235427,
AAPL.O,2023-05-05,173.57,113453171,
AAPL.O,2023-05-08,173.5,55962793,
AAPL.O,2023-05-09,171.77,45326874,
AAPL.O,2023-05-10,173.555,53724501,
AAPL.O,2023-05-11,173.75,49514676,
AAPL.O,2023-05-12,172.57,45533138,
AAPL.O,2023-05-15,172.07,37266659,
AAPL.O,2023-05-16,172.07,42110293,
AAPL.O,2023-05-17,172.69,57951604,
AAPL.O,2023-05-18,175.05,65496657,
AAPL.O,2023-05-19,175.16,55809475,
AAPL.O,2023-05-22,174.2,43570932,
AAPL.O,2023-05-23,171.56,50747263,
AAPL.O,2023-05-24,171.84,45143488,
AAPL.O,2023-05-25,172.99,56058258,
AAPL.O,2023-05-26,175.43,54834975,
AAPL.O,2023-05-30,177.3,55964401,
AAPL.O,2023-05-31,177.25,99625288,
AAPL.O,2023-06-01,180.09,68901809,
AAPL.O,2023-06-02,180.95,61996913,
AAPL.O,2023-06-05,179.58,121946497,
AAPL.O,2023-06-06,179.21,64848374,
AAPL.O,2023-06-07,177.82,61944615,
AAPL.O,2023-06-08,180.57,50214881,
AAPL.O,2023-06-09,180.96,48899973,
AAPL.O,2023-06-12,183.79,54754995,
AAPL.O,2023-06-13,183.31,54929129,
AAPL.O,2023-06-14,183.95,57462882,
AAPL.O,2023-06-15,186.01,65433166,
AAPL.O,2023-06-16,184.92,101256225,
AAPL.O,2023-06-20,185.01,49799092,
AAPL.O,2023-06-21,183.96,49515697,
AAPL.O,2023-06-22,187.0,51245327,
AAPL.O,2023-06-23,186.68,53116996,
AAPL.O,2023-06-26,185.27,48088661,
AAPL.O,2023-06-27,188.06,50730846,
AAPL.O,2023-06-28,189.25,51216801,
AAPL.O,2023-06-29,189.59,46347308,
AAPL.O,2023-06-30,193.97,85213216,
AAPL.O,2023-07-03,192.46,31458198,
AAPL.O,2023-07-05,191.33,46920261,
AAPL.O,2023-07-06,191.81,45156009,
AAPL.O,2023-07-07,190.68,46814998,
AAPL.O,2023-07-10,188.61,59922163,
AAPL.O,2023-07-11,188.08,46638119,
AAPL.O,2023-07-12,189.77,60750248,
AAPL.O,2023-07-13,190.54,41342338,
AAPL.O,2023-07-14,190.69,41616242,
AAPL.O,2023-07-17,193.99,50520159,
AAPL.O,2023-07-18,193.73,48353774,
AAPL.O,2023-07-19,195.1,80507323,
AAPL.O,2023-07-20,193.13,59581196,
AAPL.O,2023-07-21,191.94,71951683,
AAPL.O,2023-07-24,192.75,45505097,
AAPL.O,2023-07-25,193.62,37283201,
AAPL.O,2023-07-26,194.5,47471868,
AAPL.O,2023-07-27,193.22,47460180,
AAPL.O,2023-07-28,195.83,48291443,
AAPL.O,2023-07-31,196.45,38824113,
AAPL.O,2023-08-01,195.605,35281426,
AAPL.O,2023-08-02,192.58,50389327,
AAPL.O,2023-08-03,191.17,62243282,
AAPL.O,2023-08-04,181.99,115956841,
AAPL.O,2023-08-07,178.85,97576069,
AAPL.O,2023-08-08,179.8,67823003,
AAPL.O,2023-08-09,178.19,60378492,
AAPL.O,2023-08-10,177.97,54686851,
AAPL.O,2023-08-11,177.79,52036672,
AAPL.O,2023-08-14,179.46,43675627,
AAPL.O,2023-08-15,177.45,43622593,
AAPL.O,2023-08-16,176.57,46964857,
AAPL.O,2023-08-17,174.0,66062882,
AAPL.O,2023-08-18,174.49,61172150,
AAPL.O,2023-08-21,175.84,46311879,
AAPL.O,2023-08-22,177.23,42084245,
AAPL.O,2023-08-23,181.12,52722752,
AAPL.O,2023-08-24,176.38,54945798,
AAPL.O,2023-08-25,178.61,51449594,
AAPL.O,2023-08-28,180.19,43820697,
AAPL.O,2023-08-29,184.12,53003948,
AAPL.O,2023-08-30,187.65,60813888,
AAPL.O,2023-08-31,187.87,60794467,
AAPL.O,2023-09-01,189.46,45766503,
AAPL.O,2023-09-05,189.7,45280027,
AAPL.O,2023-09-06,182.91,81755816,
AAPL.O,2023-09-07,177.56,112488803,
AAPL.O,2023-09-08,178.18,65602066,
AAPL.O,2023-09-11,179.36,58953052,
AAPL.O,2023-09-12,176.3,90370192,
AAPL.O,2023-09-13,174.21,84267928,
AAPL.O,2023-09-14,175.74,60895757,
AAPL.O,2023-09-15,175.01,109259461,
AAPL.O,2023-09-18,177.97,67257573,
AAPL.O,2023-09-19,179.07,51826941,
AAPL.O,2023-09-20,175.49,58436181,
AAPL.O,2023-09-21,173.93,63149116,
AAPL.O,2023-09-22,174.79,56725385,
AAPL.O,2023-09-25,176.08,46172740,
AAPL.O,2023-09-26,171.96,64588945,
AAPL.O,2023-09-27,170.43,66921808,
AAPL.O,2023-09-28,170.69,56294419,
AAPL.O,2023-09-29,171.21,51861083,
AAPL.O,2023-10-02,173.75,52164535,
AAPL.O,2023-10-03,172.4,49594613,
AAPL.O,2023-10-04,173.66,53020286,
AAPL.O,2023-10-05,174.91,48527918,
AAPL.O,2023-10-06,177.49,57266675,
AAPL.O,2023-10-09,178.99,42390772,
AAPL.O,2023-10-10,178.39,43698019,
AAPL.O,2023-10-11,179.8,47551098,
AAPL.O,2023-10-12,180.71,56743119,
AAPL.O,2023-10-13,178.85,51456082,
AAPL.O,2023-10-16,178.72,52516984,
AAPL.O,2023-10-17,177.15,57549350,
AAPL.O,2023-10-18,175.84,54764375,
AAPL.O,2023-10-19,175.46,59302863,
AAPL.O,2023-10-20,172.88,64244028,
AAPL.O,2023-10-23,173.0,55980109,
AAPL.O,2023-10-24,173.44,43816644,
AAPL.O,2023-10-25,171.1,57156962,
AAPL.O,2023-10-26,166.89,70625258,
AAPL.O,2023-10-27,168.22,58499129,
AAPL.O,2023-10-30,170.29,51130955,
AAPL.O,2023-10-31,170.77,44846017,
AAPL.O,2023-11-01,173.97,56934906,
AAPL.O,2023-11-02,177.57,77334752,
AAPL.O,2023-11-03,176.65,79829246,
